bigbang,boyorgrl,childs,chldidel,class,conarmy,conbiz,conchurh,concong,concourt,condrift,conschls,divorce,earthsun,electron,evolved,finalter,god,grass,gunlaw,helpoth,hlthdays,homosex1,hotcore,id,intecon,intintl,inttech,makefrnd,mntlhlth,obey,othersex,othlang,owngun,popular,racwork,radioact,rank,realinc,realrinc,relpersn,rowngun,satfin,sexeduc,sexornt,socbar,socfrend,socommun,socrel,solarrev,sprtprsn,thnkself,trustsci,viruses,workhard,xmarsex1,year
0,0,2,0,4,1,0,0,0,0,0,0,2,0,0,0,3,2,1,1,3,0,0,0,74,0,0,0,0,0,4,0,2,2,5,2,0,3,119879.41732,14755,4,0,1,0,3,0,0,0,0,0,3,1,0,0,2,0,2018
0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,2,2,1,1,2,3,0,0,75,0,0,0,0,5,4,2,2,2,5,3,0,5,45400,3405,4,0,3,0,3,0,0,0,0,0,3,1,0,0,3,0,2018
0,1,2,3,2,0,3,3,5,5,1,3,0,2,1,0,3,6,0,1,0,0,0,1,76,1,3,1,3,0,0,0,1,2,0,3,2,7,119879.41732,17025,2,0,2,1,3,7,4,7,2,0,3,0,3,1,0,1,2018
0,0,2,0,3,2,0,0,0,0,0,0,2,0,0,0,3,4,0,1,2,0,0,0,77,0,0,0,0,5,5,0,2,2,4,2,0,5,119879.41732,63560,2,0,1,0,3,0,0,0,0,0,2,3,0,0,1,0,2018
0,1,4,8,2,0,3,2,3,3,1,2,2,1,1,0,1,3,0,1,0,0,4,1,84,3,3,3,4,0,0,0,2,2,0,3,2,6,30645,20430,2,0,2,1,3,7,4,4,3,1,2,0,2,1,0,1,2018
0,0,4,0,2,1,0,0,0,0,0,0,0,0,0,0,3,6,1,1,2,0,0,0,85,0,0,0,0,0,3,0,1,1,4,4,0,6,20430,9647.5,3,1,2,0,3,0,0,0,0,0,2,5,0,0,1,0,2018
0,0,2,0,3,1,0,0,0,0,0,0,2,0,0,0,3,5,1,0,3,0,0,0,88,0,0,0,0,0,5,0,1,2,4,2,0,6,119879.41732,151050.72136,4,0,2,0,3,0,0,0,0,0,4,1,0,0,2,0,2018
0,1,0,1,3,0,4,3,4,2,1,3,1,1,1,1,3,4,0,1,0,3,4,1,92,2,2,1,1,3,0,0,2,2,0,3,2,3,54480,8512.5,1,0,2,1,3,6,5,7,2,3,1,0,5,2,0,3,2018
0,1,2,4,2,0,4,4,4,4,1,4,0,1,1,0,3,6,0,1,0,0,0,1,95,1,1,1,2,0,0,0,1,1,0,1,2,5,45400,45400,2,2,2,1,3,2,3,6,2,3,2,0,3,2,0,1,2018
2,1,0,3,2,0,2,2,2,2,1,2,0,1,1,2,1,6,0,1,0,15,1,1,98,1,1,1,1,0,0,0,1,2,0,4,2,5,63560,24970,2,0,3,1,3,4,5,4,2,3,2,0,4,2,0,2,2018
0,0,1,2,1,0,3,5,5,4,1,5,0,1,1,0,2,3,0,0,0,0,0,1,101,1,1,2,2,0,0,0,2,2,0,0,2,10,24970,24970,4,0,3,2,3,6,5,5,6,1,4,0,2,1,0,1,2018
0,0,0,0,3,1,0,0,0,0,0,0,2,0,0,0,1,1,1,1,2,0,0,0,103,0,0,0,0,0,4,0,1,2,3,2,0,3,119879.41732,54480,4,0,1,0,3,0,0,0,0,0,4,1,0,0,5,0,2018
1,0,0,3,2,0,3,3,5,5,1,4,0,1,2,1,1,6,0,0,0,0,4,1,106,1,1,1,2,2,0,0,2,2,0,2,2,6,45400,45400,1,0,2,1,3,7,6,5,4,3,1,0,2,2,0,1,2018
0,0,2,0,2,2,0,0,0,0,0,0,0,0,0,0,1,3,1,1,2,0,0,0,111,0,0,0,0,0,3,0,2,1,4,3,0,5,45400,45400,3,2,1,0,3,0,0,0,0,0,2,5,0,0,1,0,2018
0,0,2,0,2,1,0,0,0,0,0,0,1,0,0,0,3,6,1,1,2,0,0,0,119,0,0,0,0,1,3,0,2,2,5,1,0,0,30645,6242.5,2,0,3,0,3,0,0,0,0,0,2,4,0,0,1,0,2018
0,2,0,2,2,0,3,3,3,4,1,3,0,1,1,0,1,4,0,1,0,0,4,1,120,2,2,2,2,1,0,0,2,2,0,2,0,5,20430,20430,2,0,2,1,3,6,4,7,3,3,3,0,4,1,0,1,2018
2,1,2,3,2,0,3,3,5,4,1,2,2,2,1,1,3,6,0,0,0,0,4,1,122,2,3,3,2,0,0,0,2,1,0,2,2,3,37455,20430,2,1,2,1,3,7,4,1,2,0,2,0,4,1,0,1,2018
0,0,2,0,3,1,0,0,0,0,0,0,1,0,0,0,1,3,1,1,2,0,0,0,123,0,0,0,0,3,4,0,2,2,5,2,0,1,30645,5107.5,3,0,2,0,3,0,0,0,0,0,2,1,0,0,3,0,2018
0,0,2,0,3,3,0,0,0,0,0,0,2,0,0,0,2,4,1,0,1,0,0,0,124,0,0,0,0,0,5,0,2,2,4,2,0,2,37455,14755,2,0,2,0,3,0,0,0,0,0,2,3,0,0,2,0,2018
1,2,0,2,3,0,3,3,5,2,1,2,0,1,2,1,3,3,0,1,0,0,4,1,125,2,1,1,2,0,0,0,1,2,0,2,2,4,14755,14755,3,0,2,1,3,7,4,4,5,1,4,0,1,1,0,2,2018
0,1,2,2,2,0,3,3,4,3,1,2,1,1,0,0,3,6,0,1,0,0,4,1,127,1,1,1,2,0,0,0,1,2,0,2,0,4,37455,37455,3,0,2,1,3,5,4,5,3,0,2,0,2,2,0,1,2018
0,1,2,2,3,0,2,4,5,5,1,3,2,1,0,0,1,5,0,1,0,0,4,1,129,1,1,1,3,0,0,0,1,2,0,1,2,4,63560,20430,2,0,2,1,3,5,2,2,6,3,2,0,4,2,0,1,2018
0,0,1,0,3,2,0,0,0,0,0,0,0,0,0,0,3,1,1,1,2,0,0,0,130,0,0,0,0,2,5,0,2,2,4,0,0,3,72640,72640,4,0,2,0,3,0,0,0,0,0,4,1,0,0,3,0,2018
0,0,2,0,3,2,0,0,0,0,0,0,2,0,0,0,2,6,2,1,2,15,0,0,134,0,0,0,0,3,5,0,1,1,4,4,0,0,119879.41732,72640,2,1,3,0,3,0,0,0,0,0,2,1,0,0,3,0,2018
0,2,0,2,3,0,2,4,2,3,1,3,0,1,2,0,1,1,0,0,0,0,4,1,137,2,2,1,2,0,0,0,1,2,0,0,1,4,37455,4086,4,0,2,1,3,7,2,7,1,3,3,0,5,2,0,4,2018
